batch_id,execution_order,batch_position,capability_id,capability_name,p0_signature,service_gap,endpoint_gap,real_data_gap,remaining_gaps,passed_dimension_count,existing_coverage_state,data_state,remediation_action,closure_condition,human_confirmation_required
B11_SERVICE_REAL_DATA,11,1,CAP-A5C181808EF6,Frontend Contract,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA,5,API_CONNECTED,REAL_LIVE,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B11_SERVICE_REAL_DATA,11,2,CAP-B167184CBF84,Frontend Contract,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA,5,API_CONNECTED,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B11_SERVICE_REAL_DATA,11,3,CAP-B81607E6BCDB,Frontend Contract,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA,5,API_CONNECTED,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B11_SERVICE_REAL_DATA,11,4,CAP-BD19C45FECD0,Frontend Contract,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA,5,API_CONNECTED,REAL_LIVE,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B11_SERVICE_REAL_DATA,11,5,CAP-C250957D114F,Frontend Contract,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA,5,API_CONNECTED,REAL_LIVE,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B11_SERVICE_REAL_DATA,11,6,CAP-C514A0947E28,Frontend Contract,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA,5,API_CONNECTED,REAL_LIVE,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B11_SERVICE_REAL_DATA,11,7,CAP-C8C94E7A8122,Frontend Contract,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA,5,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B11_SERVICE_REAL_DATA,11,8,CAP-C95B03AE5FFB,Frontend Contract,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA,5,API_CONNECTED,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B11_SERVICE_REAL_DATA,11,9,CAP-D0B86CD5E331,Frontend Contract,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA,5,UI_PARTIAL,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
B11_SERVICE_REAL_DATA,11,10,CAP-D6102C7DC3C1,Frontend Contract,SERVICE_REAL_DATA,true,false,true,SERVICE|REAL_DATA,5,API_CONNECTED,UNKNOWN,"Map the runtime service and explicit real data provider, then capture service-level data provenance evidence.",service_mapped=true;real_data_verified=true;provenance_evidence=PASS,true
